,
,
,
,
Attraction,103
Educational Institution,1
Food/Drink,169
Landmark - Man Made,15
Landmark - Natural,11
Lodging,20
Municipality,2
Services,17
Shopping,61
Sport or Activity,31
Transportation,11
Grand Total,441
