Metropolitan Statistical Area,MSA_Description
"South Bend-Mishawaka, IN-MI MSA",
"Kingsport-Bristol-Bristol, TN-VA MSA",
"Roanoke, VA MSA",
"Green Bay, WI MSA",
"Charleston, WV MSA",
"Lincoln, NE MSA",
"Fort Collins-Loveland, CO MSA",
"Utica-Rome, NY MSA",
"Fort Smith, AR-OK MSA",
"Columbus, GA-AL MSA",
"Boulder, CO MSA",
"Huntington-Ashland, WV-KY-OH MSA",
"Lubbock, TX MSA",
"Spartanburg, SC MSA",
"Erie, PA MSA",
"Duluth, MN-WI MSA",
"Atlantic City-Hammonton, NJ MSA",
"Norwich-New London, CT MSA",
"Clarksville, TN-KY MSA",
"Lafayette, LA MSA",
"San Luis Obispo-Paso Robles, CA MSA",
"Myrtle Beach-North Myrtle Beach-Conway, SC MSA",
"Hagerstown-Martinsburg, MD-WV MSA",
"Gainesville, FL MSA",
"Holland-Grand Haven, MI MSA",
"Santa Cruz-Watsonville, CA MSA",
"Cedar Rapids, IA MSA",
"Merced, CA MSA",
"Kennewick-Pasco-Richland, WA MSA",
"Greeley, CO MSA",
"Lynchburg, VA MSA",
"Olympia, WA MSA",
"Binghamton, NY MSA",
"Bremerton-Silverdale, WA MSA",
"Laredo, TX MSA",
"Amarillo, TX MSA",
"Gulfport-Biloxi, MS MSA",
"Yakima, WA MSA",
"Waco, TX MSA",
"Topeka, KS MSA",
"Macon, GA MSA",
"Champaign-Urbana, IL MSA",
"College Station-Bryan, TX MSA",
"Sioux Falls, SD MSA",
"Appleton, WI MSA",
"Chico, CA MSA",
"Tuscaloosa, AL MSA",
"Barnstable Town, MA MSA",
"Longview, TX MSA",
"Burlington-South Burlington, VT MSA",
"Prescott, AZ MSA",
"Springfield, IL MSA",
"Tyler, TX MSA",
"Las Cruces, NM MSA",
"Fargo, ND-MN MSA",
"Houma-Bayou Cane-Thibodaux, LA MSA",
"Florence, SC MSA",
"Medford, OR MSA",
"Lafayette, IN MSA",
"Charlottesville, VA MSA",
"Bellingham, WA MSA",
"Lake Havasu City-Kingman, AZ MSA",
"Saginaw-Saginaw Township North, MI MSA",
"Lake Charles, LA MSA",
"Johnson City, TN MSA",
"Elkhart-Goshen, IN MSA",
"Yuma, AZ MSA",
"Racine, WI MSA",
"Bloomington, IN MSA",
"Athens-Clarke County, GA MSA",
"Greenville, NC MSA",
"St. Cloud, MN MSA",
"Anderson, SC MSA",
"Rochester, MN MSA",
"Kingston, NY MSA",
"Crestview-Fort Walton Beach-Destin, FL MSA",
"Gainesville, GA MSA",
"Jacksonville, NC MSA",
"Redding, CA MSA",
"Monroe, LA MSA",
"Joplin, MO MSA",
"El Centro, CA MSA",
"Columbia, MO MSA",
"Terre Haute, IN MSA",
"Muskegon-Norton Shores, MI MSA",
"Bloomington-Normal, IL MSA",
"Panama City-Lynn Haven-Panama City Beach, FL MSA",
"Waterloo-Cedar Falls, IA MSA",
"Oshkosh-Neenah, WI MSA",
"Yuba City, CA MSA",
"Abilene, TX MSA",
"Blacksburg-Christiansburg-Radford, VA MSA",
"Dover, DE MSA",
"Pascagoula, MS MSA",
"Parkersburg-Marietta-Vienna, WV-OH MSA",
"Eau Claire, WI MSA",
"Janesville, WI MSA",
"Jackson, MI MSA",
"Punta Gorda, FL MSA",
"Pueblo, CO MSA",
"Billings, MT MSA",
"Bend, OR MSA",
"Albany, GA MSA",
"Vineland-Millville-Bridgeton, NJ MSA",
"Niles-Benton Harbor, MI MSA",
"State College, PA MSA",
"Bangor, ME MSA",
"Alexandria, LA MSA",
"Decatur, AL MSA",
"Hanford-Corcoran, CA MSA",
"Iowa City, IA MSA",
"Rocky Mount, NC MSA",
"Monroe, MI MSA",
"Wichita Falls, TX MSA",
"Burlington, NC MSA",
"Madera-Chowchilla, CA MSA",
"Jefferson City, MO MSA",
"Wheeling, WV-OH MSA",
"Florence-Muscle Shoals, AL MSA",
"Grand Junction, CO MSA",
"Dothan, AL MSA",
"Santa Fe, NM MSA",
"Johnstown, PA MSA",
"Sioux City, IA-NE-SD MSA",
"Hattiesburg, MS MSA",
"Dalton, GA MSA",
"Auburn-Opelika, AL MSA",
"Warner Robins, GA MSA",
"Valdosta, GA MSA",
"Coeur d'Alene, ID MSA",
"Springfield, OH MSA",
"St. George, UT MSA",
"Sebastian-Vero Beach, FL MSA",
"Odessa, TX MSA",
"Midland, TX MSA",
"Morristown, TN MSA",
"Napa, CA MSA",
"Battle Creek, MI MSA",
"Texarkana, TX-Texarkana, AR MSA",
"Flagstaff, AZ MSA",
"Wausau, WI MSA",
"La Crosse, WI-MN MSA",
"Lebanon, PA MSA",
"Anderson, IN MSA",
"Pittsfield, MA MSA",
"Idaho Falls, ID MSA",
"Farmington, NM MSA",
"Morgantown, WV MSA",
"Glens Falls, NY MSA",
"Winchester, VA-WV MSA",
"St. Joseph, MO-KS MSA",
"Altoona, PA MSA",
"Manhattan, KS MSA",
"Rapid City, SD MSA",
"Bowling Green, KY MSA",
"Logan, UT-ID MSA",
"Harrisonburg, VA MSA",
"Salisbury, MD MSA",
"Mansfield, OH MSA",
"Steubenville-Weirton, OH-WV MSA",
"Lawton, OK MSA",
"Goldsboro, NC MSA",
"Jonesboro, AR MSA",
"Sherman-Denison, TX MSA",
"Elizabethtown, KY MSA",
"Anniston-Oxford, AL MSA",
"Muncie, IN MSA",
"Mount Vernon-Anacortes, WA MSA",
"Williamsport, PA MSA",
"Cleveland, TN MSA",
"Sheboygan, WI MSA",
"Jackson, TN MSA",
"Victoria, TX MSA",
"Owensboro, KY MSA",
"Kankakee-Bradley, IL MSA",
"Brunswick, GA MSA",
"San Angelo, TX MSA",
"Michigan City-La Porte, IN MSA",
"Wenatchee-East Wenatchee, WA MSA",
"Lawrence, KS MSA",
"Decatur, IL MSA",
"Missoula, MT MSA",
"Bismarck, ND MSA",
"Bay City, MI MSA",
"Lewiston-Auburn, ME MSA",
"Sumter, SC MSA",
"Danville, VA MSA",
"Lima, OH MSA",
"Gadsden, AL MSA",
"Cumberland, MD-WV MSA",
"Longview, WA MSA",
"Fond du Lac, WI MSA",
"Ithaca, NY MSA",
"Pine Bluff, AR MSA",
"Kokomo, IN MSA",
"Grand Forks, ND-MN MSA",
"Fairbanks, AK MSA",
"Ocean City, NJ MSA",
"Mankato-North Mankato, MN MSA",
"Rome, GA MSA",
"Cape Girardeau-Jackson, MO-IL MSA",
"Hot Springs, AR MSA",
"Palm Coast, FL MSA",
"Dubuque, IA MSA",
"Cheyenne, WY MSA",
"Pocatello, ID MSA",
"Ames, IA MSA",
"Elmira, NY MSA",
"Corvallis, OR MSA",
"Danville, IL MSA",
"Great Falls, MT MSA",
"Hinesville-Fort Stewart, GA MSA",
"Sandusky, OH MSA",
"Columbus, IN MSA",
"Casper, WY MSA",
"Lewiston, ID-WA MSA",
"Carson City, NV MSA",
