kf_Place ID,kf_URL ID
52584,76594
52585,76595
52586,76596
52587,76597
52588,76598
52589,76599
52590,76600
52591,76601
52592,76602
52593,76603
52594,76604
52595,76605
52596,76606
52597,76607
52598,76608
52599,76609
52600,76610
52601,76611
52602,76612
52603,76613
52604,76614
52605,76615
52606,76616
52607,76617
52608,76618
52609,76619
52610,76620
52611,76621
52612,76622
52613,76623
52614,76624
52615,76625
52616,76626
52617,76627
52618,76628
52620,76630
52621,76631
